id;name;type_target;classification_id;classname;subclassname;valid_since;valid_until;point;line;polygon
9431;"Bundesanstalt für den Digitalfunk der Behörden und Organisationen mit Sicherheitsaufgaben (BDBOS)";1;374;"office";"government";"2016-05-18";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3149786,52.4895396]}";"";""
9441;"Alt-Moabit/Rathenower Straße";1;583;"highway";"bus_stop";"2016-05-12";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3569428,52.524053]}";"";""
9442;"Alt-Moabit/Rathenower Straße";1;396;"public_transport";"stop_position";"2016-05-12";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3569428,52.524053]}";"";""
9477;"Schieritzstraße";1;583;"highway";"bus_stop";"2016-05-21";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4377474,52.5459937]}";"";""
9510;"Red Dragon";1;165;"amenity";"fast_food";"2016-06-07";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4176598,52.5404356]}";"";""
9525;"Hochschule für Musik Hanns Eisler Berlin";1;170;"amenity";"college";"2015-11-19";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3908638,52.5135064]}";"";""
9528;"Penny";1;49;"shop";"supermarket";"2016-11-09";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4265489,52.480678]}";"";""
9537;"Am Birkenhügel";1;583;"highway";"bus_stop";"2016-09-25";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.136794,52.411614]}";"";""
9555;"Nibelungenstraße";1;583;"highway";"bus_stop";"2016-11-06";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1809678,52.418648]}";"";""
9600;"Badeweg";1;583;"highway";"bus_stop";"2016-01-08";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1861324,52.4319471]}";"";""
9611;"Lindwerder";1;583;"highway";"bus_stop";"2016-12-24";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1966329,52.466903]}";"";""
9633;"Hard Rock Cafe Berlin";1;169;"amenity";"restaurant";"2016-04-27";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3295005,52.5030909]}";"";""
9648;"Zur alten Tram";1;165;"amenity";"fast_food";"2015-12-23";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5126687,52.4626241]}";"";""
